Song,Film,Year
Bada Natkhat Hai Re Krishan Kanhaiya,Amar Prem,1972.0
Badan Pe Sitaare Lapete Hue,Prince,1969.0
Badi Der Bhayi Kab Loge Khabar More Raam,Basant Bahar,1956.0
Badi Door Se Aayen Hain,Samjhauta,1973.0
Badtameez Dil,Yeh Jawaani Hai Deewani,2013.0
Bahaaron Mera Jeewan Bhi Sanwaaron,Aakhri Khat,1966.0
Bahaaron Phool Barsaao,Suraj,1966.0
Bahut Pyar Karte Hai Tum Ko Sanam,Saajan,1991.0
Baki Nacho,Cash,2021.0
Balam Pichkari Jo Tune Mujhe Maari,Yeh Jawaani Hai Deewani,2013.0
Baliye Re,Jersey,2022.0
Balle Balle Nazren Tu Mujhe Se,Dulaara,1994.0
Balma Sipahiya Haye Re Teri Dambook Se,Dushman,1972.0
Ban Ke Panchhi Gaaye Pyar Ka Taraana,Anari,1959.0
Bana Ke Kyoon Bigaada Re,Zanjeer,1973.0
Banda Parvar Thaam Lo Jigar,Phir Wohi Dil Laya Hoon,1963.0
Bane Chaahe Dushman Zamaana Hamaara,Dostana,1980.0
Bansuri,Hum Do Hamare Do,2021.0
Baras Baras,Durgamati,2020.0
Barbaadiyaan,Shiddat,2021.0
Barbaad-E-Mohabbat Ki Dua,Laila Majnu,1976.0
Barsaat Me Tum Se Mile Hum Sajan,Barsaat,1949.0
Barson Puraana Ye Yaarana,Hera Pheri,1976.0
Bas Yahi Apraadh Main Har Baar,Pehchan,1970.0
Basti Basti Parbat Parbat-Sad,Railway Platform,1955.0
Basti Basti Parbat Parbat,Railway Platform,1955.0
Bata Doon Kya Laana,Patthar Ke Sanam,1967.0
Bedardi Baalma Tujh Ko Mera Man,Arzoo,1965.0
Begaani Shaadi Me Abdulla Deewana,Jis Desh Men Ganga Behti Hai,1960.0
Behna O Behna Teri Doli Main Uthaunga,Adalat,1976.0
Beqaraar (Duet),Looop Lapeta,2022.0
Beshak Mandir Maszid Todo,Bobby,1973.0
Bhai Bhai,Bhuj: The Pride Of India,2021.0
Bhai Ka Birthday,Antim: The Final Truth,2021.0
Bhali Bhali Si Ek Soorat,Buddha Mil Gaya,1971.0
Bhangda Pa Le,Karan Arjun,1995.0
Bheegi Bheegi Si Hai Raaten Bheegi Bheegi,Gangster,2006.0
Bhole O Bhole,Yaarana,1981.0
Bhool Gaya Sab Kuchh,Julie,1975.0
Bhoole Se Mohhabbat Kar Baitha,Dil Hi To Hai,1963.0
Bhoot Bhoot,Intezaar: Koi Aane Ko Hai,2020.0
Bhor Bhaye Panghat Pe,Satyam Shivam Sundaram,1978.0
Bhula Nahi Dena Jee,Bara-Dari,1955.0
Bigadne De,83,2021.0
Bindiya Chamkegi Choodi Khankegi,Do Raaste,1969.0
Binte Dil,Padmaavat,2018.0
Bishan Chacha Kuchh Gao,Yaarana,1981.0
Bol Do Meethe Bol,Sohni Mahiwal,1984.0
Bole Choodiyaan,Kabhi Khushi Kabhie Gham,2001.0
Bole Re Papihara,Guddi,1971.0
Boojh Mera Kya Naam Re,C.I.D.,1956.0
Bura Mat Suno Bura Mat Dekho Bura Mat Kaho,Aya Sawan Jhoom Ke,1966.0
Bure Bhi Hum Bhale Bhi Hum,Banarasi Babu,1973.0
Buri Nazar Waale Tera Muh Kaala,Mard,1985.0
Baghon Me Bahaar Hai,Aradhana,1969.0
Bahut Pyar Karte Hai Tum Ko Sanam (Female),Saajan,1991.0
Chal Baith Ja Khadi Ho Ja,Amir Grib,1974.0
Chaahe Laakh Toofan Aaye,Pyar Jhukta Nahi,1985.0
Chaahe Raho Door Chaahe Raho Paas,Do Chor,1972.0
Chaand Si Mehbooba Ho,Himalay Ki God Mein,1965.0
Chadti Jawaani Meri Chaal Mastaani,Caravan,1971.0
Chaahe Meri Jaan Tu Le Le (Remake),Marjaavaan,2019.0
Chaka Chak,Atrangi Re,2021.0
Chal Akela Chal Akela,Sambandh,1969.0
Chal Chal Chal Mere Saathi,Haathi Mere Saathi,1971.0
Chal Chale Ae Dil Jheel Ke Us Paar,Jheel Ke Us Paar,1973.0
Chal Dariya Me Doob Jaayen,Prem Kahani,1975.0
Chal Ghar Chalen Mere Humdum,Malang,2020.0
Chal Ri Sajni Ab Kya Soche,Bombai Ka Babu,1960.0
Chal Sanyasi Mandir Me,Sanyasi,1975.0
Chal Wahin Chale,Saina,2021.0
Chala Bhi Aa Aa Ja Rasiya,Man Ki Ankhen,1970.0
Chala Jaata Hoon Kisi Ki Dhun Me,Mere Jeevan Saathi,1972.0
Chali Chali Re Patang Meri Chali Re,Bhabhi,1957.0
Chali Chali,Thalaivi,2021.0
Chali Kaun Se Des Gujariya Tu Saj Dhaj Ke,Boot Polish,1954.0
Chalo Bulaawa Aaya Hai,Avtaar,1983.0
Chalo Chale Maa Sapno Ke Gaanv Me,Jagriti,1954.0
Chalo Dildar Chalo Chaand Ke Paar Chalo,Pakeezah,1972.0
Chalo Ek Baar Phir Se,Gumrah,1963.0
Chalo Re Doli Uthayo Kahaar,Jaani Dushman,1979.0
Chaand Chhupa Baadal Me,Hum Dil De Chuke Sanam,1999.0
Chanda Hai Tu Mera Suraj Hai Tu,Aradhana,1969.0
Chandigarh Kare Aashiqui (Title Song),Chandigarh Kare Aashiqui,2021.0
Chashma Chadha Ke,Non Filmy,2021.0
Chaudhavin Ka Chaand Ho,Chaudhvin Ka Chand,1960.0
Chehre Pe Khushi Chha Jaati Hai,Waqt,1965.0
Chhalke Teri Aankhon Se Sharaab,Arzoo,1965.0
Chhod Gaye Baalam Mujhe Haye Akela,Barsaat,1949.0
Chhod Sanam Kaahe Ka Gham,Kudrat,1981.0
Chhoo Kar Mere Man Ko,Yaarana,1981.0
Chhoo Lene Do Naazuk Hothon Ko,Kaajal,1965.0
Chhoti Si Umar Me Hi Lag Gaya Rog,Bairaag,1976.0
Chhoti Si Ye Zindgaani Re,Aah,1953.0
Chhup Chhup Meera Roye,Johny Mera Naam,1970.0
Chhup Gaye Saare Nazaare,Do Raaste,1969.0
Chhupa Lo Yoon Dil Me Pyar Mera,Mamta,1966.0
Chingari Koi Bhadke,Amar Prem,1972.0
Chingari,Antim: The Final Truth,2021.0
Chinta Na Kar,Hungama 2,2021.0
Chitthi Aayi Hai,Naam,1986.0
Chocolate Lime Juice,Hum Aapke Hain Koun,1994.0
Chori Chori Chupke Chupke Palkon Ke Peechhe,Aap Ki Kasam,1974.0
Chup Chaap Tu Kyoon Khadi Hai,Narsimha,1991.0
Chupke Se Dil De De Nai Te,Maryada,1971.0
Chura Ke Dil Mera 2.0,Hungama 2,2021.0
Chura Ke Dil Mera Goriya Chali,Main Khiladi Tu Anari,1994.0
Chura Liya Hai Tum Ne Jo Dil Ko,Yaadon Ki Baaraat,1973.0
Chura Liya,Non Filmy,2021.0
Dum Bhar Jo Udhar Mum Phere,Awaara,1951.0
Dum Dum Diga Diga,Chhalia,1960.0
Danka Baja,Mumbai Saga,2021.0
Darbaar Me Uper Waale Ke,Hera Pheri,1976.0
Dariya Me Jahaaz Chale Paasha,Shaan,1980.0
De Di Hame Azaadi Bina Khadag,Jagriti,1954.0
Deewana Hai Dekho,Kabhi Khushi Kabhie Gham,2001.0
Deewana Le Ke Aaya Hai,Mere Jeevan Saathi,1972.0
Deewane Hain Deewano Ko Na Ghar Chahiye,Zanjeer,1973.0
Dekh Tere Sansaar Ki Haalat,Nastik,1954.0
Dekha Ek Khawab To Ye Silsile Hue,Silsila,1981.0
Dekha Hai Pahli Baar,Saajan,1991.0
Dekha Na Haye Re Socha Na,Bombay To Goa,1972.0
Dekhne Me Bhola Hai,Bombai Kab Babu,1960.0
Dekho O Diwaano,Hare Rama Hare Krishna,1971.0
Der Se Aana Jaldi Jaana Ae Saahab Ye Theek Nahi,Khal Nayak,1993.0
Desh Mere,Bhuj: The Pride Of India,2021.0
Devi O Baby Tu Ban Ja Meri Biwi,Maqsad,1984.0
Dhaakad,Dangal,2016.0
Dheel De De Re Bhaiyya,Hum Dil De Chuke Sanam,1999.0
